Age Group,Gender,Usage Frequency,Daily Usage,Purpose,Image Pressure,Anxiety/Insecurity,Self-Esteem Impact,Life Comparison,FOMO,Spending Influence,Body Image,Influencer Engagement,Tried Trends, Sleep Impact,Mental Drain,Happiness/Stress,Took a Break,Reduce Usage?
25-30,Male,Never,30 minutes - 1 hour,Keeping up with friends,Rarely,Sometimes,More stressed,Yes,No,Occasionally,"Yes, positively",Daily,No,I stay up late because of Instagram,Occasionally,Depends on the content I see,Yes,No
25-30,Male,Multiple times a day,More than 2 hours,Entertainment,Yes,No,No effect,Occasionally,Rarely,Sometimes,No,A few times a week,No,Sometimes it affects my sleep,Rarely,Depends on the content I see,No,Yes
25-30,Female,Multiple times a day,30 minutes - 1 hour,Entertainment,Occasionally,Sometimes,More stressed,No,Occasionally,Occasionally,"Yes, positively",Daily,Yes,No impact,Rarely,Depends on the content I see,Occasionally,No
Above 30,Male,Multiple times a day,<30 minutes,Keeping up with friends,No,Rarely,Depends on the content I see,Yes,Rarely,Sometimes,"Yes, positively",Never,No,Sometimes it affects my sleep,Sometimes,Depends on the content I see,Occasionally,Strongly
Above 30,Male,Multiple times a day,<30 minutes,Entertainment,No,Yes,More stressed,No,No,Yes,"Yes, positively",A few times a week,Yes,Sometimes it affects my sleep,Yes,No effect,Occasionally,Maybe
25-30,Male,Never,<30 minutes,Entertainment,No,Sometimes,Depends on the content I see,Rarely,Occasionally,Rarely,"Yes, positively",Never,Yes,I stay up late because of Instagram,Rarely,No effect,Yes,No
25-30,Female,Multiple times a day,30 minutes - 1 hour,Keeping up with friends,Rarely,Sometimes,More stressed,Rarely,No,Sometimes,"Yes, positively",Daily,Yes,No impact,Yes,More stressed,Yes,Strongly
18-24,Female,Never,<30 minutes,Entertainment,Rarely,Sometimes,More stressed,Rarely,Sometimes,No,No,Never,Yes,Sometimes it affects my sleep,Yes,Depends on the content I see,Occasionally,Strongly
18-24,Female,Never,30 minutes - 1 hour,Keeping up with friends,Yes,Occasionally,No effect,Yes,Yes,Occasionally,"Yes, positively",A few times a week,No,No impact,Rarely,More stressed,No,Strongly
Above 30,Male,Once a day,<30 minutes,Keeping up with friends,Occasionally,Yes,Depends on the content I see,Sometimes,Sometimes,Sometimes,"Yes, positively",Never,Yes,No impact,Rarely,Depends on the content I see,Yes,No
Above 30,Male,Never,30 minutes - 1 hour,Entertainment,Yes,No,More stressed,Rarely,Sometimes,No,"Yes, positively",Daily,Yes,I stay up late because of Instagram,No,Happier,Occasionally,No
18-24,Female,Once a day,30 minutes - 1 hour,Keeping up with friends,Occasionally,Occasionally,Happier,Rarely,Occasionally,Occasionally,No,Daily,No,Sometimes it affects my sleep,Sometimes,Happier,Occasionally,Maybe
